,Name,Address,Price,Ratings,amenities
57,OYO 18544 Amm Residency,"Mavalli, Bengaluru",₹1308,(673 Ratings),"Parking Facility, Free Wifi, Twin Single Bed"
58,OYO 66612 Jai Comforts,"Near Laggere bridge, Narasimhaswamy Layout, Bangalore",₹1531,(354 Ratings),"Private Entrance, Reception, Free Wifi"
59,OYO 24259 Hotel Blue Inn,"Near Bilal masjid, Gurappanapalya, Bangalore",₹849,(924 Ratings),"Reception, Free Wifi, Power backup"
60,SPOT ON 72596 Royal Regency ,"Centrally Located, Near Movieland Theatre, RK Puram, Bangalore",₹749,(511 Ratings),"TV, Parking Facility, AC"
61,OYO Townhouse 038 Banaswadi 100Ft Road,"Kammanahalli Bangalore, Bangalore",₹1049,,"Parking Facility, Reception, Free Wifi"
62,OYO 13594 Mathrushree Residency,"Near ESI Hospital, Rajaji Nagar, Bangalore",₹2055,(661 Ratings),"Elevator, Free Wifi, Geyser"
63,OYO Flagship 83384 Vijaya Grand,"Bangalore  , Bangalore",₹1499,(18 Ratings),"Reception, Free Wifi, Card Payment"
64,OYO Flagship 77157 Puttana Chetty Townhall,"Nagarathpete, Bangalore",₹749,(105 Ratings),"Reception, Free Wifi, Power backup"
65,OYO 71538 Royal Residency,"Cottonpet, Bangalore",₹949,(617 Ratings),"Reception, Free Wifi, Power backup"
66,OYO 23627 Grand Residency,"Near Lumbini Garden, Kempapur, Bangalore",₹1049,(148 Ratings),"Parking Facility, Reception, Free Wifi"
67,SPOT ON 68841 Ashraya Comforts,"Near Railway Hospital, Yeswanthpur, Bangalore",₹599,(279 Ratings),"Window, Reception, Geyser"
68,Capital O 715 Royal Shades,"Near Manipal Hospital, Kodihalli, Bangalore",₹949,(160 Ratings),AC
69,Collection O 84214 Ivory Petals Service Apartments ,"India, Bangalore",₹1049,(41 Ratings),"Free Wifi, Geyser, Daily Housekeeping"
70,Townhouse OAK SRK White Inn,"Koramangala, Bangalore",₹1049,(202 Ratings),"Free Wifi, Power backup, Security"
71,OYO Home  80399 Supreet Home,"Hoysala Nagara, Bangalore",₹1049,(258 Ratings),"Free Wifi, CCTV Cameras, AC"
72,OYO 19934 Hotel Golden Arch,"Near Vijayanagar police station, MC Layout, Bangalore",₹1299,(173 Ratings),AC
73,OYO 12761 High Street,"Near Kalyan silks commercial street, Bangalore",₹1935,(615 Ratings),"Free Wifi, Power backup, Card Payment"
74,OYO Flagship 8252 Aayush Corporate Stays,"Near Maharaja Signal, Kormangala, Bangalore",₹1396,(905 Ratings),"Hair Dryer, Free Wifi, Power backup"
75,OYO 18544 Amm Residency,"Mavalli, Bengaluru",₹1308,(673 Ratings),"Parking Facility, Free Wifi, Twin Single Bed"
76,OYO 66612 Jai Comforts,"Near Laggere bridge, Narasimhaswamy Layout, Bangalore",₹1531,(354 Ratings),"Private Entrance, Reception, Free Wifi"
77,OYO 24259 Hotel Blue Inn,"Near Bilal masjid, Gurappanapalya, Bangalore",₹849,(924 Ratings),"Reception, Free Wifi, Power backup"
78,Collection O 83427 The Leela,"Domlur, Bangalore",₹1462,(197 Ratings),"Doctor on Call, Reception, Public Washroom"
79,Capital O 69041 Yo Hotel,"Near SR Krishnappa Garden, Swagath Road, Bangalore",₹849,,"Reception, Free Wifi, Power backup"
